Ttests Within Languages_Catalan,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
"S1,2",0.5191201347401071,0.03471064036487767,0.31273520081014383,0.31273494611745545
"S1,3",0.6646582183645231,0.11990277367790932,0.09726792862888241,0.09726809733889977
"S1,4",0.21683754561890076,0.18225699861478878,0.7472833644993191,0.7472836834861529
"S1,5",0.6646582183645231,0.10777269449111568,0.9515948104508043,0.9515951754500125
"S1,6",0.6646582183645231,0.07272557709331683,0.9892099087670878,0.9892118399860962
"S1,7",1.0,0.11017545777300504,0.1320092142018605,0.1320093109856352
"S1,8",0.2923519924402384,0.1950155281000755,0.27618874254546283,0.276188722233251
"S2,1",0.5191201347401071,0.03471064036487767,0.31273520081014383,0.31273494611745545
"S2,3",0.9001384353975479,1.0,0.3461524454795575,0.3461525942638214
"S2,4",0.53846597191722,0.7347801456791725,0.30398810550259114,0.30398786982664244
"S2,5",0.9001384353975479,1.0,0.4614309895208707,0.46143030165888516
"S2,6",0.9001384353975479,0.645376309227824,0.4180359102066011,0.418036880440018
"S2,7",0.3739009663000589,0.8782853018770392,0.11506892158246686,0.11506877640266781
"S2,8",0.6225756634545612,0.8825697309920968,0.4452530245729467,0.4452530040552517
"S3,1",0.6646582183645231,0.11990277367790932,0.09726792862888241,0.09726809733889977
"S3,2",0.9001384353975479,1.0,0.3461524454795575,0.3461525942638214
"S3,4",0.48805269099201165,0.7844779352140978,0.13214976275012247,0.13214997091866837
"S3,5",1.0,1.0,0.16051175157789843,0.16051185304283186
"S3,6",1.0,0.7440171738228161,0.15270896191297373,0.1527093683453357
"S3,7",0.6773801783493056,0.8983386825669399,0.14112822811187722,0.1411285078022493
"S3,8",0.5504150390625,0.9008752910951499,0.5316276042434651,0.531627652849991
"S4,1",0.21683754561890076,0.18225699861478878,0.7472833644993191,0.7472836834861529
"S4,2",0.53846597191722,0.7347801456791725,0.30398810550259114,0.30398786982664244
"S4,3",0.48805269099201165,0.7844779352140978,0.13214976275012247,0.13214997091866837
"S4,5",0.48805269099201165,0.779050350159992,0.7711996945762571,0.7712000960538692
"S4,6",0.48805269099201165,1.0,0.8104170284411576,0.8104159389124422
"S4,7",0.2427680009919807,0.6951234381739306,0.34203168636593,0.34203121249799673
"S4,8",1.0,0.8983386825669399,0.3339208623051351,0.333920852785853
"S5,1",0.6646582183645231,0.10777269449111568,0.9515948104508043,0.9515951754500125
"S5,2",0.9001384353975479,1.0,0.4614309895208707,0.46143030165888516
"S5,3",1.0,1.0,0.16051175157789843,0.16051185304283186
"S5,4",0.48805269099201165,0.779050350159992,0.7711996945762571,0.7712000960538692
"S5,6",1.0,0.7347801456791725,0.9532440327908134,0.9532458156608878
"S5,7",0.6773801783493056,0.8960692177320336,0.2901591475929947,0.2901588883630235
"S5,8",0.5504150390625,0.8987749919426279,0.34101008579995845,0.3410100535387519
"S6,1",0.6646582183645231,0.07272557709331683,0.9892099087670878,0.9892118399860962
"S6,2",0.9001384353975479,0.645376309227824,0.4180359102066011,0.418036880440018
"S6,3",1.0,0.7440171738228161,0.15270896191297373,0.1527093683453357
"S6,4",0.48805269099201165,1.0,0.8104170284411576,0.8104159389124422
"S6,5",1.0,0.7347801456791725,0.9532440327908134,0.9532458156608878
"S6,7",0.6773801783493056,0.6458922167119555,0.2832828221038048,0.28328287657714446
"S6,8",0.5504150390625,0.8818870120441558,0.3394661017501751,0.3394661286244489
"S7,1",1.0,0.11017545777300504,0.1320092142018605,0.1320093109856352
"S7,2",0.3739009663000589,0.8782853018770392,0.11506892158246686,0.11506877640266781
"S7,3",0.6773801783493056,0.8983386825669399,0.14112822811187722,0.1411285078022493
"S7,4",0.2427680009919807,0.6951234381739306,0.34203168636593,0.34203121249799673
"S7,5",0.6773801783493056,0.8960692177320336,0.2901591475929947,0.2901588883630235
"S7,6",0.6773801783493056,0.6458922167119555,0.2832828221038048,0.28328287657714446
"S7,8",0.35993865468538544,0.81032951991051,0.397983686088351,0.3979836774679577
"S8,1",0.2923519924402384,0.1950155281000755,0.27618874254546283,0.276188722233251
"S8,2",0.6225756634545612,0.8825697309920968,0.4452530245729467,0.4452530040552517
"S8,3",0.5504150390625,0.9008752910951499,0.5316276042434651,0.531627652849991
"S8,4",1.0,0.8983386825669399,0.3339208623051351,0.333920852785853
"S8,5",0.5504150390625,0.8987749919426279,0.34101008579995845,0.3410100535387519
"S8,6",0.5504150390625,0.8818870120441558,0.3394661017501751,0.3394661286244489
"S8,7",0.35993865468538544,0.81032951991051,0.397983686088351,0.3979836774679577
